"Scrip Code","Symbol","Scrip Name","Haircut %","ISIN","Broker limit reached","Cash Equivalent","Pledge allowed"
"LCIFD1-DDR","LCIFD1-DDR","LIC MF INDEX FUND SENSEX-DIRECT - DIVIDEND PLAN-IDCW REINVESTMENT","25","INF767K01FK2","No","No","Yes"
"NFAQ-DP","NFAQ-DP","NIPPON INDIA INDEX FUND - NIFTY 50 PLAN DIRECT PLAN QUARTERLY - DIVIDEND PLAN IDCW PAYOUT","25","INF204K01H69","No","No","Yes"
"LQAG-GR","LQAG-GR","NIPPON INDIA MONEY MARKET FUND - DIRECT GROWTH PLAN GROWTH OPTION","25","INF204K01ZP3","No","Yes","Yes"
"BS296GZ-GR","BS296GZ-GR","ADITYA BIRLA SUN LIFE PURE VALUE FUND - GROWTH-DIRECT PLAN","25","INF209K01WQ7","No","No","Yes"
"IDD284-DP","IDD284-DP","BANDHAN BANKING AND PSU DEBT FUND-DIRECT PLAN-QUARTERLY-IDCW PAYOUT","25","INF194K018M0","No","No","Yes"
"IDFCMP-GR","IDFCMP-GR","BANDHAN ASSET ALLOCATION FUND OF FUND-MODERATE PLAN-REGULAR PLAN-GROWTH","25","INF194K01AB9","No","No","Yes"
"BS221GZ-GR","BS221GZ-GR","ADITYA BIRLA SUN LIFE MNC FUND - GROWTH-DIRECT PLAN","25","INF209K01VT3","No","No","Yes"
"TPDG-GR","TPDG-GR","AXIS MULTI ASSET ALLOCATION FUND - DIRECT GROWTH","25","INF846K01EV4","No","No","Yes"
"UTW2D1-DP","UTW2D1-DP","UTI MULTI ASSET ALLOCATION FUND - DIRECT PLAN- IDCW PAYOUT","25","INF789F01VC0","No","No","Yes"
"543374","ABSLAMC","Aditya Birla Sun Life AMC Limi","20","INE404A01024","No","No","Yes"
"UTSIGP-GR","UTSIGP-GR","UTI BSE SENSEX INDEX FUND - REGULAR GROWTH PLAN","25","INF789F1AVC9","No","No","Yes"
"541019","HGINFRA","H.G.INFRA ENGINEERING LTD","21.24","INE926X01010","No","No","Yes"
"IDFCAP-DP","IDFCAP-DP","BANDHAN ASSET ALLOCATION FUND OF FUND-AGGRESSIVE PLAN-REGULAR PLAN-IDCW PAYOUT","25","INF194K01961","No","No","Yes"
"532406","AVANTEL","AVANTEL LIMITED","20","INE005B01027","No","No","Yes"
"UTIBFWIR-DR","UTIBFWIR-DR","UTI LOW DURATION FUND WEEKLY-REGULAR PLAN-IDCW REINVESTMENT","25","INF789F01PC2","No","No","Yes"
"EDELEGAGG-GR","EDELEGAGG-GR","EDELWEISS LARGE CAP FUND - GROWTH OPTION","25","INF754K01046","No","No","Yes"
"BS292RZ-DR","BS292RZ-DR","ADITYA BIRLA SUN LIFE FOCUSED FUND - IDCW REINVESTMENT-DIRECT PLAN","25","INF209K01WF0","No","No","Yes"
"DS914-GR","DS914-GR","DSP NIFTY BANK INDEX FUND - DIRECT PLAN - GROWTH","25","INF740KA1UO6","No","No","Yes"
"IFMTM-DP","IFMTM-DP","BANDHAN BOND FUND - MEDIUM TERM PLAN - MONTHLY - IDCW PAYOUT","25","INF194K01KC6","No","No","Yes"
"EDP7RG-GR","EDP7RG-GR","EDELWEISS NIFTY PSU BOND PLUS SDL APR 2027 50:50 INDEX FUND - REGULAR PLAN - GROWTH","25","INF754K01MP5","No","No","Yes"
"AXFBDDR-DR","AXFBDDR-DR","AXIS BANKING AND PSU DEBT FUND - REGULAR MONTHLY IDCW REINVESTMENT","25","INF846K01CG9","No","No","Yes"
"INFGT-DP","INFGT-DP","HDFC INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION","25","INF179K01WQ2","No","No","Yes"
"CAMDDG-GR","CAMDDG-GR","CANARA ROBECO MID CAP FUND DIRECT GROWTH","25","INF760K01KI1","No","No","Yes"
"532525","MAHABANK","Bank of Maharashtra","20.08","INE457A01014","No","No","Yes"
"500260","RAMCOCEM","The Ramco Cements Limited","20","INE331A01037","No","No","Yes"
"RLITAD-DR","RLITAD-DR","NIPPON INDIA INNOVATION FUND DIRECT PLAN IDCW REINVESTMENT","25","INF204KC1BQ8","No","No","Yes"
"SID-ICICI-DR","SID-ICICI-DR","ICICI PRUDENTIAL EXPORTS AND SERVICES - IDCW REINVESTMENT","25","INF109K01BA7","No","No","Yes"
"SUNMIQAP-DP","SUNMIQAP-DP","SUNDARAM CONSERVATIVE HYBRID FUND REGULAR QUARTERLY IDCW PAYOUT","25","INF903J01HD6","No","No","Yes"
"ID327-GR","ID327-GR","BANDHAN ULTRA SHORT TERM FUND REGULAR PLAN-GROWTH","25","INF194KA10Q8","No","No","Yes"
"IC9692P-DP","IC9692P-DP","ICICI PRUDENTIAL PSU EQUITY FUND - DIRECT PLAN - IDCW PAYOUT","25","INF109KC13I3","No","No","Yes"
"CAMFDP-DR","CAMFDP-DR","CANARA ROBECO MULTI CAP FUND REGULAR PLAN IDCW REINVESTMENT","25","INF760K01KS0","No","No","Yes"
"BSL295G-GR","BSL295G-GR","ADITYA BIRLA SUN LIFE SMALL CAP FUND GROWTH","25","INF209K01EN2","No","No","Yes"
"B313G","B313G","ADITYA BIRLA SUN LIFE REGULAR SAVINGS FUND-GROWTH","25","INF209K01751","No","No","Yes"
"IC9453-GR","IC9453-GR","ICICI PRUDENTIAL INDIA OPPORTUNITIES FUND DIRECT PLAN GROWTH","25","INF109KC1RH9","No","No","Yes"
"KO178D-DR","KO178D-DR","KOTAK FLEXICAP FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF174K01LR4","No","No","Yes"
"RGMDGP-GR","RGMDGP-GR","INVESCO INDIA MEDIUM DURATION FUND - REGULAR PLAN - GROWTH","25","INF205KA1379","No","No","Yes"
"DS599-DP","DS599-DP","DSP NIFTY 50 INDEX FUND - REGULAR - IDCW PAYOUT","25","INF740KA1MK1","No","No","Yes"
"SBD464G-GR","SBD464G-GR","SBI BANKING AND FINANCIAL SERVICES FUND - DIRECT PLAN-GROWTH","25","INF200KA1507","No","No","Yes"
"FOCUS-RET","FOCUS-RET","ICICI PRUDENTIAL BLUECHIP FUND - GROWTH","25","INF109K01BL4","No","No","Yes"
"UTNSGP-GR","UTNSGP-GR","UTI NIFTY SDL PLUS AAA PSU BOND APR 2026 75:25 INDEX FUND -REGULAR PLAN-GROWTH","25","INF789F1AXK8","No","No","Yes"
"505355","NESCO","Nesco Limited","20","INE317F01035","No","No","Yes"
"MAFEBD2-DR","MAFEBD2-DR","MIRAE ASSET LARGE & MIDCAP FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF769K01BK7","No","No","Yes"
"AXMLGP-GR","AXMLGP-GR","AXIS FLEXI CAP FUND REGULAR PLAN GROWTH","25","INF846K01B51","No","No","Yes"
"JMSCDG-GR","JMSCDG-GR","JM SMALL CAP FUND - DIRECT PLAN - GROWTH","25","INF192K01NH3","No","No","Yes"
"TAREFG-GR","TAREFG-GR","TATA RESOURCES AND ENERGY FUND REGULAR PLAN GROWTH","25","INF277K012B6","No","No","Yes"
"QTTSRD-DP","QTTSRD-DP","QUANTUM ELSS TAX SAVER FUND - REGULAR PLAN IDCW PAYOUT OPTION","25","INF082J01374","No","No","Yes"
"FR064P-DP","FR064P-DP","FRANKLIN INDIA DEBT HYBRID FUND - PLAN A - MONTHLY IDCW PAYOUT","25","INF090I01EB5","No","No","Yes"
"MHMLFDG-GR","MHMLFDG-GR","MAHINDRA MANULIFE LIQUID FUND - DIRECT - GROWTH","25","INF174V01044","No","Yes","Yes"
"31T-DP","31T-DP","HDFC ELSS TAX SAVER - DIRECT PLAN - IDCW PAYOUT","25","INF179K01YQ8","No","No","Yes"
"HS16D-DR","HS16D-DR","HSBC MIDCAP FUND DIRECT PLAN - IDCW REINVESTMENT","25","INF917K01FX6","No","No","Yes"
"SBD018D-DP","SBD018D-DP","SBI LONG TERM EQUITY FUND- DIRECT PLAN - IDCW PAYOUT","25","INF200K01UK3","No","No","Yes"
"MHMUSRG-GR","MHMUSRG-GR","MAHINDRA MANULIFE ULTRA SHORT DURATION FUND- REGULAR - GROWTH","25","INF174V01853","No","No","Yes"
"KO490-DR","KO490-DR","KOTAK ESG EXCLUSIONARY STRATEGY FUND-REGULAR PLAN - IDCW REINVESTMENT","25","INF174KA1FG8","No","No","Yes"
"BASCDG-GR","BASCDG-GR","BANK OF INDIA SMALL CAP FUND-DIRECT PLAN-GROWTH","25","INF761K01EP7","No","No","Yes"
"543242","HEMIPROP","HEMISPHERE PROP IND LTD","21.64","INE0AJG01018","No","No","Yes"
"QUBSD1-DR","QUBSD1-DR","QUANT BFSI FUND - DIRECT PLAN IDCW - REINVESTMENT","25","INF966L01BZ5","No","No","Yes"
"SBD676D-DR","SBD676D-DR","SBI DIVIDEND YIELD FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF200KA16W8","No","No","Yes"
"FR864-GR","FR864-GR","FRANKLIN INDIA OVERNIGHT FUND - GROWTH","25","INF090I01SO8","No","Yes","Yes"
"TSD1-DP","TSD1-DP","AXIS ELSS TAX SAVER FUND - DIRECT PLAN - IDCW PAYOUT","25","INF846K01EX0","No","No","Yes"
"UTSEGP-GR","UTSEGP-GR","UTI SILVER ETF FUND OF FUND - REGULAR PLAN - GROWTH","25","INF789F1AYM2","No","No","Yes"
"539404","SATIN","SATIN CREDIT NET LTD","20","INE836B01017","No","No","Yes"
"AXN5GP-GR","AXN5GP-GR","AXIS NIFTY 50 INDEX FUND REGULAR GROWTH","25","INF846K016D5","No","No","Yes"
"AXFCFGP-GR","AXFCFGP-GR","AXIS LIQUID FUND - REGULAR GROWTH","25","INF846K01412","No","Yes","Yes"
"LCIRD1-DDR","LCIRD1-DDR","LIC MF INFRASTRUCTURE FUND-DIRECT - DIVIDEND PLAN-IDCW REINVESTMENT","25","INF767K01GX3","No","No","Yes"
"F273-GR","F273-GR","FRANKLIN INDIA FOCUSED EQUITY FUND-GROWTH","25","INF090I01981","No","No","Yes"
"8193P-DP","8193P-DP","ICICI PRUDENTIAL EXPORTS AND SERVICES - DIRECT PLAN - IDCW PAYOUT","25","INF109K01W09","No","No","Yes"
"AFAG-GR","AFAG-GR","NIPPON INDIA ARBITRAGE FUND DIRECT PLAN GROWTH PLAN GROWTH","25","INF204K01XZ7","No","No","Yes"
"AXEADP-DP","AXEADP-DP","AXIS ARBITRAGE FUND - REGULAR PLAN - MONTHLY IDCW PAYOUT","25","INF846K01QD6","No","No","Yes"
"590104","JUNIORBEES","JUNIOR BEES","10","INF732E01045","No","No","Yes"
"UTFIG1G-GR","UTFIG1G-GR","UTI INNOVATION FUND - DIRECT PLAN - GROWTH OPTION","25","INF789F1AZA4","No","No","Yes"
"SBIPSU-DR","SBIPSU-DR","SBI PSU FUND - IDCW REINVESTMENT","25","INF200K01BE6","No","No","Yes"
"RLNSDP-DR","RLNSDP-DR","NIPPON INDIA NIFTY SMALLCAP 250 INDEX FUND-REGULAR PLAN-IDCW REINVESTEMENT","25","INF204KB14W3","No","No","Yes"
"KO47D-DP","KO47D-DP","KOTAK GOLD FUND - DIRECT PLAN-IDCW PAYOUT","25","INF174K01MQ4","No","No","Yes"
"502180","SHREDIGCEM","SHREE DIGVIJAY CEM CO LTD","20","INE232A01011","No","No","Yes"
"523630","NFL","National Fertilizers Limited","24.72","INE870D01012","No","No","Yes"
"NIAG-GR","NIAG-GR","NIPPON INDIA DYNAMIC BOND FUND DIRECT PLAN GROWTH PLAN - GROWTH OPTION GROWTH","25","INF204K01A25","No","No","Yes"
"206127","CONSUMBEES","NIP IND ETF CONSUMPTION","20","INF204KA1LD7","No","No","Yes"
"544252","BAJAJHFL","BAJAJ HOUSING FINANCE LTD","20","INE377Y01014","No","No","Yes"
"8031P-DP","8031P-DP","ICICI PRUDENTIAL MULTICAP FUND - DIRECT PLAN - IDCW PAYOUT","25","INF109K012O3","No","No","Yes"
"BS108Y-GR","BS108Y-GR","ADITYA BIRLA SUN LIFE CRISIL IBX 60:40 SDL + AAA PSU - APR 2025 INDEX FUND-DIRECT GROWTH","25","INF209KB13I3","No","No","Yes"
"FR026P-DP","FR026P-DP","FRANKLIN INDIA TECHNOLOGY FUND - IDCW PAYOUT","25","INF090I01759","No","No","Yes"
"BAFEFRD-DP","BAFEFRD-DP","BANK OF INDIA LARGE AND MID CAP EQUITY FUND REGULAR PLAN - REGULAR IDCW PAYOUT","25","INF761K01082","No","No","Yes"
"BDDM-DR","BDDM-DR","AXIS BANKING AND PSU DEBT FUND - DIRECT MONTHLY IDCW REINVESTMENT","25","INF846K01CS4","No","No","Yes"
"MHMPBRG-GR","MHMPBRG-GR","MAHINDRA MANULIFE LARGE CAP FUND - REGULAR - GROWTH","25","INF174V01697","No","No","Yes"
"SBD681G-GR","SBD681G-GR","SBI BSE SENSEX INDEX FUND-DIRECT PLAN-GROWTH","25","INF200KA16Y4","No","No","Yes"
"SBIPSU-DP","SBIPSU-DP","SBI PSU FUND - IDCW PAYOUT","25","INF200K01BD8","No","No","Yes"
"HDHNSRG-GR","HDHNSRG-GR","HDFC NIFTY SDL OCT 2026 INDEX FUND REGULAR GROWTH","25","INF179KC1FJ5","No","No","Yes"
"RGFEF-GR","RGFEF-GR","INVESCO INDIA BALANCED ADVANTAGE FUND - REGULAR PLAN GROWTH","25","INF205K01213","No","No","Yes"
"EDMSD2-DR","EDMSD2-DR","EDELWEISS MID CAP FUND - DIRECT PLAN IDCW REINVESTMENT","25","INF843K01AQ9","No","No","Yes"
"ISDG-GR","ISDG-GR","AXIS CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH","25","INF846K01EA8","No","No","Yes"
"PRFED1-GR","PRFED1-GR","PGIM INDIA LARGE CAP FUND - DIRECT PLAN - GROWTH - GROWTH","25","INF663L01GR4","No","No","Yes"
"526227","FILATEX","FILATE INDIA(BSE INDONEXT)","21.96","INE816B01035","No","No","Yes"
"32","32","HDFC ELSS TAX SAVER - GROWTH OPTION","25","INF179K01BB8","No","No","Yes"
"EDO2RG-GR","EDO2RG-GR","BHARAT BOND ETF FOF - APRIL 2032 - REGULAR PLAN - GROWTH","25","INF754K01NV1","No","No","Yes"
"532321","ZYDUSLIFE","ZYDUS LIFESCIENCES LTD","20","INE010B01027","No","No","Yes"
"CBDP-DP","CBDP-DP","NIPPON INDIA STRATEGIC DEBT FUND- IDCW PLAN PAYOUT","25","INF204KA1QB0","No","No","Yes"
"PRIODP-DR","PRIODP-DR","PGIM INDIA HYBRID EQUITY FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF663L01HB6","No","No","Yes"
"ICICI1839P-DP","ICICI1839P-DP","ICICI PRUDENTIAL BANKING AND PSU DEBT FUND - QUARTERLY IDCW PAYOUT","25","INF109K01YE1","No","No","Yes"
"KO287-DR","KO287-DR","KOTAK BANKING AND FINANCIAL SERVICES FUND-REGULAR PLAN-IDCW REINVESTMENT","25","INF174KA1MC3","No","No","Yes"
"EDG7RG-GR","EDG7RG-GR","EDELWEISS CRISIL IBX 50:50 GILT PLUS SDL APRIL 2037 INDEX FUND- REGULAR PLAN GROWTH - GROWTH","25","INF754K01PB8","No","No","Yes"
"AXIMGP-GR","AXIMGP-GR","AXIS INDIA MANUFACTURING FUND-REGULAR PLAN-GROWTH","25","INF846K013S0","No","No","Yes"
"EDO5D1-GR","EDO5D1-GR","BHARAT BOND FOF - APRIL 2025 - DIRECT PLAN - GROWTH","25","INF754K01LI2","No","No","Yes"
"TGDD-DP","TGDD-DP","JM ELSS TAX SAVER FUND-DIRECT PLAN IDCW PAYOUT","25","INF192K01CD5","No","No","Yes"
"QUOFDP-DP","QUOFDP-DP","QUANT MID CAP FUND REGULAR PLAN - IDCW PAYOUT","25","INF966L01150","No","No","Yes"
"RLONAG-GR","RLONAG-GR","NIPPON INDIA OVERNIGHT FUND - DIRECT GROWTH PLAN","25","INF204KB1R31","No","Yes","Yes"
"QUVFD1-DR","QUVFD1-DR","QUANT VALUE FUND - DIRECT PLAN IDCW REINVESTMENT","25","INF966L01AP8","No","No","Yes"
"HDFCPREDD-DR","HDFCPREDD-DR","HDFC HYBRID EQUITY FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF179K01AR6","No","No","Yes"
"HOHFCDG-GR","HOHFCDG-GR","HELIOS FLEXI CAP FUND-DIRECT PLAN-GROWTH","25","INF0R8701046","No","No","Yes"
"IDFCAP-GR","IDFCAP-GR","BANDHAN ASSET ALLOCATION FUND OF FUND-AGGRESSIVE PLAN-REGULAR PLAN-GROWTH","25","INF194K01953","No","No","Yes"
"BO106-DP","BO106-DP","BARODA BNP PARIBAS MULTI CAP FUND DIRECT IDCW PAYOUT","25","INF955L01AE5","No","No","Yes"
"SBI069DP-DP","SBI069DP-DP","SBI MAGNUM MEDIUM DURATION FUND REGULAR IDCW PAYOUT","25","INF200K01727","No","No","Yes"
"QTSCRG-GR","QTSCRG-GR","QUANTUM SMALL CAP FUND- REGULAR PLAN GROWTH","25","INF082J01440","No","No","Yes"
"EDARMR-DR","EDARMR-DR","EDELWEISS BALANCED ADVANTAGE FUND-REGULAR PLAN MONTHLY IDCW REINVESTMENT","25","INF754K01IL2","No","No","Yes"
"KO280D-GR","KO280D-GR","KOTAK INCOME PLUS ARBITRAGE FOF-DIRECT PLAN-GROWTH","25","INF174KA1KJ2","No","No","Yes"
"KO479-GR","KO479-GR","KOTAK OVERNIGHT FUND - REGULAR PLAN - GROWTH","25","INF174KA1BC6","No","Yes","Yes"
"DSP104-GR","DSP104-GR","DSP MIDCAP FUND - REGULAR PLAN - GROWTH","25","INF740K01128","No","No","Yes"
"IIIQRG-GR","IIIQRG-GR","360 ONE QUANT FUND - REGULAR PLAN - GROWTH","25","INF579M01AF8","No","No","Yes"
"MAFPFD2-DP","MAFPFD2-DP","MIRAE ASSET AGGRESSIVE HYBRID FUND - DIRECT PLAN - IDCW PAYOUT","25","INF769K01DI7","No","No","Yes"
"BJMMDG-GR","BJMMDG-GR","BAJAJ FINSERV MONEY MARKET FUND - DIRECT PLAN - GROWTH","25","INF0QA701334","No","Yes","Yes"
"BS116B-GR","BS116B-GR","ADITYA BIRLA SUN LIFE CRISIL IBX 60:40 SDL+ AAA PSU APR 2026 INDEX FUND-REGULAR GROWTH","25","INF209KB18O0","No","No","Yes"
"BPN2RG-GR","BPN2RG-GR","BARODA BNP PARIBAS NIFTY SDL DECEMBER 2028 INDEX FUND REGULAR PLAN GROWTH","25","INF251K01RO4","No","No","Yes"
"IFM-DR","IFM-DR","TATA EQUITY SAVINGS FUND REGULAR PLAN - MONTHLY IDCW REINVESTMENT","25","INF277K01899","No","No","Yes"
"KO1155D-GR","KO1155D-GR","KOTAK MULTICAP FUND - DIRECT PLAN - GROWTH","25","INF174KA1HV3","No","No","Yes"
"D224-DP","D224-DP","BANDHAN ELSS TAX SAVER FUND (DIRECT PLAN)-IDCW PAYOUT","25","INF194K01Y37","No","No","Yes"
"SAONDG-GR","SAONDG-GR","SAMCO OVERNIGHT FUND-DIRECT GROWTH","25","INF0K1H01040","No","Yes","Yes"
"HSHCORP-DP","HSHCORP-DP","HSBC CONSUMPTION FUND - REGULAR PLAN IDCW PAYOUT","25","INF336L01RD4","No","No","Yes"
"MHMSCRG-GR","MHMSCRG-GR","MAHINDRA MANULIFE SMALL CAP FUND - REGULAR - GROWTH","25","INF174V01BH3","No","No","Yes"
"SBD619G-GR","SBD619G-GR","SBI MAGNUM CHILDRENS BENEFIT FUND - INVESTMENT PLAN DIRECT GROWTH","25","INF200KA1R07","No","No","Yes"
"HDHCRDP-DP","HDHCRDP-DP","HDFC NON-CYCLICAL CONSUMER FUND REGULAR PLAN IDCW PAYOUT","25","INF179KC1GS4","No","No","Yes"
"BS105G-GR","BS105G-GR","ADITYA BIRLA SUN LIFE BALANCED ADVANTAGE FUND - GROWTH OPTION","25","INF084M01AB8","No","No","Yes"
"BSL91DD-DR","BSL91DD-DR","ADITYA BIRLA SUN LIFE FRONTLINE EQUITY FUND - IDCW REINVESTMENT","25","INF209K01EC5","No","No","Yes"
"JMAADP-DR","JMAADP-DR","JM ARBITRAGE FUND - IDCW REINVESTMENT OPTION","25","INF192K01502","No","No","Yes"
"RLNLAM-DP","RLNLAM-DP","NIPPON INDIA NIVESH LAKSHYA FUND - DIRECT MONTHLY DIVIDEND PLAN IDCW PAYOUT","25","INF204KB1YT5","No","No","Yes"
"HDCDNDR-DP","HDCDNDR-DP","HDFC CREDIT RISK DEBT FUND - REGULAR PLAN - NORMAL IDCW PAYOUT","25","INF179KA1I87","No","No","Yes"
"PRMDD1-GR","PRMDD1-GR","PGIM INDIA MONEY MARKET FUND - DIRECT PLAN - GROWTH","25","INF663L01T84","No","Yes","Yes"
"500052","BEPL","Bhansali Engineering Polymers","22.13","INE922A01025","No","No","Yes"
"DBDG-GR","DBDG-GR","AXIS DYNAMIC BOND FUND - DIRECT PLAN - GROWTH PLAN","25","INF846K01DI3","No","No","Yes"
"IC9693-GR","IC9693-GR","ICICI PRUDENTIAL OVERNIGHT FUND DIRECT PLAN GROWTH","25","INF109KC11G1","No","Yes","Yes"
"IDFCFRG-GR","IDFCFRG-GR","BANDHAN MONEY MANAGER FUND -REGULAR PLAN-GROWTH","25","INF194K01LJ9","No","Yes","Yes"
"8107-GR","8107-GR","ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND- DIRECT GROWTH","25","INF109K01Y80","No","No","Yes"
"ICICI12P-DP","ICICI12P-DP","ICICI PRUDENTIAL LARGE AND MID CAP FUND - IDCW PAYOUT","25","INF109K01EQ7","No","No","Yes"
"KO294DD-DP","KO294DD-DP","KOTAK NIFTY SMALLCAP 50 INDEX FUND - DIRECT PLAN IDCW PAYOUT","25","INF174KA1NC1","No","No","Yes"
"500271","MFSL","MAX FINANCIAL SERV LTD","20","INE180A01020","No","No","Yes"
"8186-DR","8186-DR","ICICI PRUDENTIAL REGULAR SAVINGS FUND - DIRECT PLAN - HALF YEARLY IDCW REINVESTMENT","25","INF109K01S54","No","No","Yes"
"EDO2D1-GR","EDO2D1-GR","BHARAT BOND ETF FOF - APRIL 2032 - DIRECT PLAN - GROWTH","25","INF754K01NY5","No","No","Yes"
"HDHMCRD-DP","HDHMCRD-DP","HDFC MULTI CAP FUND - REGULAR PLAN - IDCW PAYOUT OPTION","25","INF179KC1BW7","No","No","Yes"
"CAMNDP-DR","CAMNDP-DR","CANARA ROBECO MANUFACTURING FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF760K01KV4","No","No","Yes"
"F272-DR","F272-DR","FRANKLIN INDIA FOCUSED EQUITY FUND-IDCW REINVESTMENT","25","INF090I01973","No","No","Yes"
"AXN5DG-GR","AXN5DG-GR","AXIS NIFTY 50 INDEX FUND DIRECT GROWTH","25","INF846K013D2","No","No","Yes"
"BS111B-GR","BS111B-GR","ADITYA BIRLA SUN LIFE NIFTY SDL SEP 2025 INDEX FUND - REGULAR PLAN-GROWTH","25","INF209KB18L6","No","No","Yes"
"BS115B-GR","BS115B-GR","ADITYA BIRLA SUN LIFE CRISIL IBX GILT APR 2029 INDEX FUND-REGULAR GROWTH","25","INF209KB10O7","No","Yes","Yes"
"UTSPG1-GR","UTSPG1-GR","UTI SMALL CAP FUND - DIRECT GROWTH PLAN","25","INF789F1AUQ1","No","No","Yes"
"RLCNAG-GR","RLCNAG-GR","NIPPON INDIA NIFTY AAA CPSE BOND PLUS SDL - APR 2027 MATURITY 60:40 INDEX FUND-DIRECT GROWTH","25","INF204KC1527","No","No","Yes"
"D204-DP","D204-DP","BANDHAN FLEXI CAP FUND - DIRECT PLAN - IDCW PAYOUT","25","INF194K01W70","No","No","Yes"
"EDQUD1-GR","EDQUD1-GR","EDELWEISS NIFTY 100 QUALITY 30 INDEX FUND - DIRECT PLAN - GROWTH","25","INF754K01NJ6","No","No","Yes"
"SBI148IDM-DR","SBI148IDM-DR","SBI SHORT TERM DEBT FUND - REGULAR PLAN - MONTHLY IDCW REINVESTMENT","25","INF200K01HW5","No","No","Yes"
"BAFTFRG-GR","BAFTFRG-GR","BANK OF INDIA ULTRA SHORT DURATION FUND REGULAR PLAN - GROWTH","25","INF761K01298","No","No","Yes"
"RLITGP-GR","RLITGP-GR","NIPPON INDIA INNOVATION FUND REGULAR PLAN GROWTH","25","INF204KC1BL9","No","No","Yes"
"MHMPBDG-GR","MHMPBDG-GR","MAHINDRA MANULIFE LARGE CAP FUND - DIRECT - GROWTH","25","INF174V01721","No","No","Yes"
"INEHGP-GR","INEHGP-GR","GROWW AGGRESSIVE HYBRID FUND-REGULAR PLAN - GROWTH","25","INF666M01FJ4","No","No","Yes"
"2374-DR","2374-DR","ICICI PRUDENTIAL DIVIDEND YIELD EQUITY FUND - IDCW REINVESTMENT","25","INF109KA1TZ9","No","No","Yes"
"EDSCRD-DR","EDSCRD-DR","EDELWEISS SMALL CAP FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF754K01JL0","No","No","Yes"
"HDNNIRG-GR","HDNNIRG-GR","HDFC NIFTY NEXT50 INDEX FUND REGULAR GROWTH","25","INF179KC1BR7","No","No","Yes"
"ICICI2071-DR","ICICI2071-DR","ICICI PRUDENTIAL SAVINGS FUND - MONTHLY IDCW REINVESTMENT","25","INF109K013Z7","No","No","Yes"
"CADVDD-DP","CADVDD-DP","CANARA ROBECO FLEXI CAP FUND DIRECT - IDCW PAYOUT","25","INF760K01ED5","No","No","Yes"
"543425","MAPMYINDIA","C.E. Info Systems Limited","22.1","INE0BV301023","No","No","Yes"
"SGBJUL25","SGBJUL25","SGB2.50%JUL2025SR-II17-18","10","IN0020170034","No","Yes","Yes"
"542651","KPITTECH","KPIT Technologies Limited","20","INE04I401011","No","No","Yes"
"PRMOD1-DR","PRMOD1-DR","PGIM INDIA MIDCAP OPPORTUNITIES FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF663L01DX9","No","No","Yes"
"TABFDZ-DR","TABFDZ-DR","TATA HYBRID EQUITY FUND DIRECT PLAN - PERIODIC IDCW REINVESTMENT","25","INF277K01MM4","No","No","Yes"
"MAFPFD2-DR","MAFPFD2-DR","MIRAE ASSET AGGRESSIVE HYBRID FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF769K01DJ5","No","No","Yes"
"DS580-DR","DS580-DR","DSP ARBITRAGE FUND - REG - MONTHLY IDCW REINVESTMENT","25","INF740KA1DM6","No","No","Yes"
"MAFEBRD-DP","MAFEBRD-DP","MIRAE ASSET LARGE & MIDCAP FUND - REGULAR PLAN - IDCW PAYOUT OPTION","25","INF769K01127","No","No","Yes"
"RGMDD1-GR","RGMDD1-GR","INVESCO INDIA MEDIUM DURATION FUND - DIRECT PLAN - GROWTH","25","INF205KA1429","No","No","Yes"
"RELSEGP-GR","RELSEGP-GR","NIPPON INDIA VALUE FUND - GROWTH OPTION","25","INF204K01GB3","No","No","Yes"
"HSLNIFD-DR","HSLNIFD-DR","HSBC NIFTY 50 INDEX FUND  - IDCW REINVESTENT","25","INF917K01D46","No","No","Yes"
"K462-GR","K462-GR","KOTAK LIQUID FUND - REGULAR PLAN - GROWTH","25","INF174K01NI9","No","Yes","Yes"
"BS121Y-GR","BS121Y-GR","ADITYA BIRLA SUN LIFE CRISIL IBX GILT APR 2028 INDEX FUND - DIRECT GROWTH","25","INF209KB11U2","No","Yes","Yes"
"RLNVAD-DP","RLNVAD-DP","NIPPON INDIA NIFTY 50 VALUE 20 INDEX FUND DIRECT PLAN IDCW PAYOUT","25","INF204KB13Z8","No","No","Yes"
"SUUTIM-DR","SUUTIM-DR","SUNDARAM ULTRA SHORT DURATION FUND  - REGULAR PLAN  IDCW MONTHLY REINVESTMENT","25","INF173K01CY1","No","No","Yes"
