"Scrip Code","Symbol","Scrip Name","Haircut %","ISIN","Broker limit reached","Cash Equivalent","Pledge allowed"
"SUNMIQA-DR","SUNMIQA-DR","SUNDARAM CONSERVATIVE HYBRID FUND REGULAR QUARTERLY IDCW REINVESTMENT","25","INF903J01HG9","No","No","Yes"
"PRIOMD-DR","PRIOMD-DR","PGIM INDIA HYBRID EQUITY FUND - REGULAR PLAN - MONTHLY IDCW REINVESTMENT","25","INF663L01NZ3","No","No","Yes"
"533088","MHRIL","Mahindra Holidays & Resorts In","20","INE998I01010","No","No","Yes"
"BS95Y-GR","BS95Y-GR","ADITYA BIRLA SUN LIFE NIFTY SDL APR 2027 INDEX FUND DIRECT GROWTH","25","INF209KB11F3","No","No","Yes"
"101D-GR","101D-GR","SHRIRAM AGGRESSIVE HYBRID FUND DIRECT PLAN - GROWTH","25","INF680P01042","No","No","Yes"
"IF68-DR","IF68-DR","BANDHAN LOW DURATION FUND-MONTHLY-IDCW REINVESTMENT","25","INF194K01FY0","No","No","Yes"
"QUMFDG-GR","QUMFDG-GR","QUANT MANUFACTURING FUND - DIRECT PLAN - GROWTH","25","INF966L01CJ7","No","No","Yes"
"501301","TATAINVEST","Tata Investment Corporation Li","21.27","INE672A01018","No","No","Yes"
"HSLBCDP-DP","HSLBCDP-DP","HSBC BUSINESS CYCLES FUND-DIRECT PLAN-IDCW PAYOUT","25","INF917K01RK8","No","No","Yes"
"HSFCADD-DR","HSFCADD-DR","HSBC AGGRESSIVE HYBRID FUND DIRECT PLAN - ANNUAL IDCW REINVESTMENT","25","INF917K01TX7","No","No","Yes"
"MONIGP-GR","MONIGP-GR","MOTILAL OSWAL NIFTY 50 INDEX FUND - REGULAR GROWTH","25","INF247L01AF4","No","No","Yes"
"BS109A-DP","BS109A-DP","ADITYA BIRLA SUN LIFE CRISIL IBX 60:40 SDL + AAA PSU - APR 2027 INDEX FUND-REGULAR IDCW-PAYOUT","25","INF209KB18H4","No","No","Yes"
"EODP-DP","EODP-DP","NIPPON INDIA MULTI CAP FUND - DIV PLAN-IDCW PAYOUT OPTION","25","INF204K01455","No","No","Yes"
"KM133-DP","KM133-DP","KOTAK EMERGING EQUITY FUND - IDCW PAYOUT","25","INF174K01DU5","No","No","Yes"
"TAMNG-GR","TAMNG-GR","TATA NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20 INDEX FUND - REGULAR PLAN - GROWTH","25","INF277KA1BJ7","No","No","Yes"
"BPTADG-GR","BPTADG-GR","BARODA BNP PARIBAS ELSS TAX SAVER FUND DIRECT PLAN GROWTH","25","INF251K01HF3","No","No","Yes"
"SFAQ-DR","SFAQ-DR","NIPPON INDIA INDEX FUND - BSE SENSEX PLANDIRECT PLAN QUARTERLY - DIVIDEND PLAN IDCW REINVESTMENT","25","INF204K01L22","No","No","Yes"
"LCSCD1-DR","LCSCD1-DR","LIC SMALL CAP FUND - DIRECT PLAN - IDCW - REINVESTMENT","25","INF397L01JQ5","No","No","Yes"
"ICICI1816P-DP","ICICI1816P-DP","ICICI PRUDENTIAL REGULAR GOLD SAVINGS FUND (FOF) - IDCW PAYOUT","25","INF109K01TM4","No","No","Yes"
"091G","091G","SBI MAGNUM MIDCAP FUND - GROWTH","25","INF200K01560","No","No","Yes"
"RLNQAG-GR","RLNQAG-GR","NIPPON INDIA NIFTY G-SEC- JUN 2036 MATURITY INDEX FUND DIRECT GROWTH PLAN","25","INF204KC1AC0","No","Yes","Yes"
"DS787-DR","DS787-DR","DSP NATURAL RESOURCES AND NEW ENERGY FUND - DIRECT PLAN - IDCW REINVESTMENT","25","INF740K01QC3","No","No","Yes"
"IC3437-GR","IC3437-GR","ICICI PRUDENTIAL QUANT FUND - REGULAR PLAN -  GROWTH","25","INF109KC1O33","No","No","Yes"
"IC3493P-DP","IC3493P-DP","ICICI PRUDENTIAL OVERNIGHT FUND WEEKLY IDCW PAYOUT","25","INF109KC12F1","No","Yes","Yes"
"UTIINFRA-DP","UTIINFRA-DP","UTI INFRASTRUCTURE FUND - IDCW PAYOUT PLAN","25","INF789F01737","No","No","Yes"
"478-GR","478-GR","FRANKLIN INDIA SMALLER COMPANIES FUND - DIRECT GROWTH","25","INF090I01IQ4","No","No","Yes"
"TAMTCD-DR","TAMTCD-DR","TATA FLEXI CAP FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF277K010L9","No","No","Yes"
"SBD079B-GR","SBD079B-GR","SBI SAVINGS FUND - DIRECT PLAN - GROWTH","25","INF200K01SZ5","No","Yes","Yes"
"SBD661P-DP","SBD661P-DP","SBI NIFTY MIDCAP 150 INDEX FUND - DIRECT PLAN - IDCW PAYOUT","25","INF200KA11P3","No","No","Yes"
"HDHRDHR-GR","HDHRDHR-GR","HDFC RETIREMENT SAVINGS FUND - HYBRID DEBT PLAN - REGULAR - GROWTH","25","INF179KB1MK0","No","No","Yes"
"RGF9GP-GR","RGF9GP-GR","INVESCO INDIA FLEXI CAP FUND-REGULAR PLAN - GROWTH","25","INF205KA1460","No","No","Yes"
"HSHMARD-DR","HSHMARD-DR","HSBC MULTI ASSET ALLOCATION FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF336L01RH5","No","No","Yes"
"544174","TBOTEK","TBO TEK LIMITED","20","INE673O01025","No","No","Yes"
"8187P-DP","8187P-DP","ICICI PRUDENTIAL REGULAR SAVINGS FUND - DIRECT PLAN - QUARTERLY IDCW PAYOUT","25","INF109K01S88","No","No","Yes"
"QTEFRD-DR","QTEFRD-DR","QUANTUM LONG TERM EQUITY VALUE FUND - REGULAR PLAN IDCW REINVESTMENT OPTION","25","INF082J01267","No","No","Yes"
"QUMOGP-GR","QUMOGP-GR","QUANT MOMENTUM FUND - REGULAR PLAN GROWTH - GROWTH","25","INF966L01CW0","No","No","Yes"
"ICICI24-GR","ICICI24-GR","ICICI PRUDENTIAL SHORT TERM FUND - GROWTH OPTION","25","INF109K01654","No","No","Yes"
"EDFTD2-DP","EDFTD2-DP","BHARAT BOND FOF - APRIL 2030 - DIRECT PLAN - IDCW PAYOUT","25","INF754K01KZ8","No","No","Yes"
"KO487-GR","KO487-GR","KOTAK PIONEER FUND - REGULAR PLAN - GROWTH","25","INF174KA1EW8","No","No","Yes"
"BFMDP","BFMDP","TATA HYBRID EQUITY FUND REGULAR PLAN - MONTHLY IDCW PAYOUT","25","INF277K01CS2","No","No","Yes"
"RLRWDP-DP","RLRWDP-DP","NIPPON INDIA RETIREMENT FUND-WEALTH CREATION SCHEME-DIVIDEND PLAN IDCW PAYOUT OPTION","25","INF204KA1C06","No","No","Yes"
"IDD312R-DR","IDD312R-DR","BANDHAN HYBRID EQUITY FUND DIRECT PLAN-IDCW REINVESTMENT","25","INF194KA1U72","No","No","Yes"
"MOUSGPG-GR","MOUSGPG-GR","MOTILAL OSWAL ULTRA SHORT TERM FUND - REGULAR GROWTH","25","INF247L01213","No","No","Yes"
"FR980-GR","FR980-GR","FRANKLIN INDIA MEDIUM TO LONG DURATION FUND - REGULAR PLAN - GROWTH","25","INF090I01XD1","No","No","Yes"
"MOMMPD-DP","MOMMPD-DP","MOTILAL OSWAL MULTI CAP FUND - DIRECT PLAN - IDCW PAYOUT","25","INF247L01CM6","No","No","Yes"
"EDNXRG-GR","EDNXRG-GR","EDELWEISS NIFTY NEXT 50 INDEX FUND- REGULAR PLAN GROWTH - GROWTH","25","INF754K01QH3","No","No","Yes"
"KO205MP-DP","KO205MP-DP","KOTAK LOW DURATION FUND - REGULAR PLAN - STANDARD - IDCW PAYOUT","25","INF178L01210","No","No","Yes"
"DSP384-DR","DSP384-DR","DSP TOP 100 EQUITY FUND - REGULAR PLAN - IDCW REINVESTMENT","25","INF740K01235","No","No","Yes"
"RMFSCBP-GR","RMFSCBP-GR","NIPPON INDIA INDEX FUND - NIFTY 50 PLAN - GROWTH OPTION","25","INF204K01IE3","No","No","Yes"
"HD53TN-GR","HD53TN-GR","HDFC MONEY MARKET FUND - DIRECT PLAN - GROWTH","25","INF179KB1HU9","No","Yes","Yes"
"IFGT-GR","IFGT-GR","HDFC INCOME FUND - DIRECT PLAN - GROWTH OPTION","25","INF179K01WL3","No","No","Yes"
"HSLARMP-DP","HSLARMP-DP","HSBC ARBITRAGE FUND MONTHLY IDCW PAYOUT","25","INF917K01QN4","No","No","Yes"
"FR610-GR","FR610-GR","FRANKLIN PENSION PLAN - DIRECT PLAN - GROWTH","25","INF090I01JZ3","No","No","Yes"
"500085","CHAMBLFERT","Chambal Fertilizers & Chemical","20.92","INE085A01013","No","No","Yes"
"UTLSD2-GR","UTLSD2-GR","UTI INDIA CONSUMER FUND - DIRECT GROWTH PLAN-GROWTH","25","INF789F01VF3","No","No","Yes"
"QDPG-GR","QDPG-GR","NIPPON INDIA QUANT FUND DIRECT PLAN GROWTH PLAN GROWTH","25","INF204K01J34","No","No","Yes"
"UTBAD1-DR","UTBAD1-DR","UTI AGGRESSIVE HYBRID FUND - DIRECT IDCW REINVESTMENT","25","INF789F01SJ1","No","No","Yes"
